Dataset,Business Type,Transactions,Customers,Avg Amount,Total Revenue,Success Rate
restaurant_transactions,Restaurant,1500,820,$39.67,$59507.22,94.9%
retail_store_transactions,Retail,1200,678,$89.47,$107365.23,95.8%
auto_repair_transactions,Service,800,458,$332.96,$266370.11,95.8%
dental_clinic_transactions,Healthcare,600,348,$323.61,$194163.04,94.0%
coffee_shop_transactions,Coffee_Shop,2000,1020,$9.28,$18552.84,94.8%
handmade_crafts_ecommerce,Handmade_Crafts,1800,953,$106.25,$191254.33,92.6%
fitness_supplements_ecommerce,Fitness_Supplements,2200,1058,$86.25,$189750.15,91.9%
tech_accessories_ecommerce,Tech_Accessories,3000,1403,$39.34,$118009.64,92.6%
pet_supplies_ecommerce,Pet_Supplies,1600,836,$50.17,$80271.80,91.6%
vintage_clothing_ecommerce,Vintage_Clothing,1200,645,$137.73,$165273.16,92.0%
beauty_cosmetics_ecommerce,Beauty_Cosmetics,2500,1169,$82.64,$206588.01,91.6%
home_garden_ecommerce,Home_Garden,1400,740,$86.22,$120708.58,93.0%
book_media_ecommerce,Book_Media,1800,910,$38.47,$69249.56,92.3%
art_supplies_ecommerce,Art_Supplies,1300,709,$95.42,$124052.07,92.2%
baby_kids_ecommerce,Baby_Kids,2000,984,$99.18,$198366.98,91.6%
digital_downloads_ecommerce,Digital_Downloads,2800,1288,$101.68,$284690.65,91.1%
